Recipe_ID,calories,TotalFat,SaturatedFat,Cholesterol,Sodium,Potassium,TotalCarbohydrates,DietaryFiber,Protein,Sugars,VitaminA,VitaminC,Calcium,Iron,Thiamin,Niacin,VitaminB6,Magnesium,Folate
236537,320.0,17.7,3.0,4,1137,939,31.5,9.1,10.3,10,17122,44,256,6,0,2,0,86,187
236136,325.0,14.9,4.0,19,906,875,35.3,5.8,12.8,5,8412,73,154,4,0,5,1,50,54
259465,561.0,24.8,7.0,25,1226,1075,65.7,8.8,22.4,6,1994,32,496,6,1,11,1,96,200
24404,60.0,2.4,1.0,50,63,42,5.6,0.3,3.7,0,156,1,49,1,0,1,0,8,24
246222,570.0,33,10.0,166,2461,953,27.7,5,38.1,5,12287,12,222,5,0,2,0,104,146
16211,701.0,40.3,18.0,146,549,400,43.8,1.4,38.5,2,176,0,358,5,0,12,0,58,145
23335,500.0,39.1,15.0,89,1358,902,16.3,4.7,20.5,8,714,46,123,4,0,8,1,54,45
20540,448.0,18.4,8.0,48,356,1507,58.1,7,13.9,6,389,63,131,3,1,7,1,85,56
236176,306.0,12.4,3.0,86,1613,692,23.7,5,26.3,4,5539,15,68,3,0,2,0,59,71
13244,483.0,35.9,12.0,77,1698,445,15.8,4.6,22.4,8,581,10,84,2,0,8,0,27,19
16640,149.0,5.4,1.0,0,357,401,22.2,4.2,4.4,4,260,15,69,2,0,2,0,34,59
241062,371.0,20.4,8.0,62,1583,460,26.4,2.6,19.2,5,1098,12,78,4,0,5,0,15,7
34466,911.0,48.3,22.0,260,982,1184,75.8,7,49,3,1886,55,294,5,0,16,0,146,28
91620,216.0,5.1,3.0,10,69,932,38.2,4.8,5.5,2,158,42,72,2,0,3,1,53,36
24718,378.0,16.7,5.0,19,219,392,46.4,2.9,12.1,9,382,4,274,2,0,5,0,49,104
11861,287.0,8.4,1.0,0,9,387,46.6,4.1,8.7,4,947,14,73,3,0,4,0,45,132
128968,242.0,8.3,2.0,27,395,253,30.3,6.6,11.2,2,78,1,136,3,0,4,0,47,109
230046,273.0,15.3,9.0,88,482,289,27.2,2.9,7.2,3,10562,2,147,1,0,3,0,26,29
259980,614.0,27.7,6.0,122,623,806,71.6,5.8,19.9,4,314,31,278,5,1,10,1,67,118
279916,334.0,16.8,3.0,5,343,952,42.2,5.4,5.1,3,157,46,44,2,0,4,1,53,41
229778,178.0,13.9,2.0,0,684,390,12.3,4.4,3.5,5,818,19,51,2,0,2,0,30,44
258025,365.0,22.4,11.0,59,873,701,23.1,10.1,23.9,2,265,41,697,3,0,6,0,125,116
278329,318.0,18.8,11.0,55,1036,262,21.3,2.4,16.7,3,990,18,502,3,0,2,0,33,17
279651,183.0,5,1.0,0,558,732,27.7,0.9,8.1,2,215,5,51,3,0,3,0,77,7
255606,146.0,7.5,2.0,8,225,439,15.9,2.3,4.6,2,372,30,34,2,0,3,0,24,23
139651,178.0,9.8,2.0,7,770,162,18,3.1,5.7,3,642,7,154,2,0,1,0,14,10
220226,205.0,17,7.0,28,304,208,5.8,2.3,8.7,2,709,5,210,2,0,3,0,37,38
279649,443.0,16.7,7.0,24,909,669,57.6,5.8,17,9,1587,19,356,6,0,8,0,62,143
228797,85.0,4.1,1.0,32,371,578,10.1,3.1,4.3,5,601,26,77,2,0,2,0,37,53
